month_created,month,Overall,Bronx,Brooklyn,Manhattan,Queens,StatenIsland
1,Jan,6034.2,7496,8146,9830,4222,477
2,Feb,4709.6,5488,6573,7792,3213,482
3,March,5289.6,5878,7684,8680,3619,587
4,April,7765.6,7945,11470,12201,6300,912
5,May,9640.4,9576,15240,13449,8721,1216
6,June,10757.2,11086,17452,13553,10080,1615
7,July,10566.4,11937,16955,11496,10907,1537
8,Aug,9158.8,10145,15182,10435,8663,1369
9,Sept,10284.2,9647,17833,12599,10195,1147
10,Oct,8199.4,7987,12546,12150,7402,912
11,Nov,5530.2,6263,7568,9027,4229,564
12,Dec,6023.6,7159,7951,10040,4599,369
